City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Saskylakh,RU,2021-07-31 13:32:55,71.9167,114.0833,72.91,40,0,8.32
190,Chenghai,CN,2021-07-31 13:32:55,23.4632,116.768,78.71,94,20,2.24
191,Leningradskiy,RU,2021-07-31 13:32:56,69.3833,178.4167,31.96,94,100,8.84
192,Wadi Musa,JO,2021-07-31 13:32:56,30.3222,35.4793,86.72,15,0,10.16
193,Nome,US,2021-07-31 13:29:12,64.5011,-165.4064,53.67,94,90,21.85
194,Tilichiki,RU,2021-07-31 13:32:57,60.4667,166.1,43.11,70,7,4.74
195,Huron,US,2021-07-31 13:32:57,41.1501,-82.5499,68.54,68,1,4.36
196,Mildura,AU,2021-07-31 13:31:42,-34.2,142.15,51.76,93,90,5.75
197,Bogovarovo,RU,2021-07-31 13:32:57,58.9785,47.0246,77.85,43,5,9.4
198,Bonthe,SL,2021-07-31 13:32:58,7.5264,-12.505,74.41,92,100,11.48
199,Mar Del Plata,AR,2021-07-31 13:29:11,-38.0023,-57.5575,51.01,71,0,5.99
200,Lafiagi,NG,2021-07-31 13:32:58,8.8667,5.4167,86.02,65,83,6.29
201,Bathsheba,BB,2021-07-31 13:31:27,13.2167,-59.5167,84.81,79,75,20.71
202,Nikolskoye,RU,2021-07-31 13:32:59,59.7035,30.7861,73.29,43,12,12.66
203,Takoradi,GH,2021-07-31 13:32:59,4.8845,-1.7554,80.38,74,81,11.14
204,Port Hedland,AU,2021-07-31 13:31:22,-20.3167,118.5667,66.25,77,5,8.05
205,Zhigansk,RU,2021-07-31 13:33:00,66.7697,123.3711,65.62,41,20,6.33
206,Dolinsk,RU,2021-07-31 13:33:00,47.35,142.8,62.46,93,100,7.2
207,College,US,2021-07-31 13:33:00,64.8569,-147.8028,57.79,85,40,3.44
208,Lasa,IT,2021-07-31 13:33:01,46.6166,10.7002,80.51,70,58,5.37
209,Najran,SA,2021-07-31 13:33:01,17.4924,44.1277,99.25,24,82,18.52
210,Esperance,AU,2021-07-31 13:32:50,-33.8667,121.9,48.04,66,7,20.94
211,Ancud,CL,2021-07-31 13:33:02,-41.8697,-73.8203,33.33,75,57,3.94
212,High Level,CA,2021-07-31 13:33:02,58.5169,-117.136,55.51,94,1,3.44
213,Mimongo,GA,2021-07-31 13:33:03,-1.6195,11.6068,90.0,34,3,5.08
214,Soc Trang,VN,2021-07-31 13:33:03,9.6033,105.98,82.36,85,67,8.88
215,Luwuk,ID,2021-07-31 13:33:03,-0.9516,122.7875,76.71,87,5,4.54
216,Phalaborwa,ZA,2021-07-31 13:33:04,-23.943,31.1411,87.08,27,0,5.37
217,Shelburne,CA,2021-07-31 13:32:09,44.0787,-80.2041,60.76,56,100,9.6
218,Cabo San Lucas,MX,2021-07-31 13:29:24,22.8909,-109.9124,84.51,75,93,7.72
219,Mount Gambier,AU,2021-07-31 13:33:04,-37.8333,140.7667,46.31,93,100,11.5
220,Besikduzu,TR,2021-07-31 13:33:05,41.052,39.2284,80.49,78,41,3.15
221,Mao,ES,2021-07-31 13:33:05,39.8885,4.2658,84.76,61,40,6.91
222,Geraldton,AU,2021-07-31 13:33:05,-28.7667,114.6,59.41,58,75,13.8
223,Otofuke,JP,2021-07-31 13:33:06,42.9917,143.2003,71.38,92,99,1.19
224,Severo-Yeniseyskiy,RU,2021-07-31 13:33:06,60.3725,93.0408,56.28,63,29,3.78
225,Pisco,PE,2021-07-31 13:33:06,-13.7,-76.2167,63.01,77,90,5.75
226,Manchester,GB,2021-07-31 13:28:48,53.4809,-2.2374,65.44,75,90,3.0
227,Tuatapere,NZ,2021-07-31 13:33:07,-46.1333,167.6833,47.82,98,100,0.94
228,Deputatskiy,RU,2021-07-31 13:33:07,69.3,139.9,43.23,70,89,9.06
229,Fukue,JP,2021-07-31 13:33:08,32.6881,128.8419,81.0,88,81,9.24
230,Nyurba,RU,2021-07-31 13:33:08,63.2842,118.3319,62.01,54,7,2.33
231,Luanda,AO,2021-07-31 13:32:47,-8.8368,13.2343,75.2,78,0,11.5
232,Buin,CL,2021-07-31 13:33:08,-33.7333,-70.75,58.73,29,13,1.66
233,Takapau,NZ,2021-07-31 13:33:09,-40.0333,176.35,43.74,93,96,2.37
234,Sola,VU,2021-07-31 13:33:09,-13.8833,167.55,78.04,69,100,14.94
235,Luneville,FR,2021-07-31 13:33:09,48.6,6.5,71.02,68,100,7.58
236,Clyde River,CA,2021-07-31 13:28:27,70.4692,-68.5914,48.43,71,40,6.91
237,Plavinas,LV,2021-07-31 13:33:10,56.6178,25.7255,74.7,49,77,11.52
238,Tonekabon,IR,2021-07-31 13:33:10,36.8163,50.8738,80.55,86,83,2.01
239,Manaure,CO,2021-07-31 13:33:11,11.7751,-72.4445,85.95,61,3,22.66
240,Olafsvik,IS,2021-07-31 13:33:11,64.8945,-23.7142,56.05,87,81,5.59
241,Tanout,NE,2021-07-31 13:33:11,14.9709,8.8879,91.42,42,97,6.29
242,Sainte-Suzanne,RE,2021-07-31 13:33:12,-20.9061,55.6089,73.85,68,40,23.02
243,Santa Maria,BR,2021-07-31 13:33:12,-29.6842,-53.8069,43.9,100,20,5.75
244,Sekoma,BW,2021-07-31 13:33:12,-24.4,23.8833,71.46,22,0,10.42
245,Culiacan,MX,2021-07-31 13:31:05,24.7994,-107.3897,80.64,80,75,5.75
246,Yar-Sale,RU,2021-07-31 13:33:13,66.8333,70.8333,56.41,69,67,8.9
247,Road Town,VG,2021-07-31 13:33:13,18.4167,-64.6167,85.19,79,40,13.8
248,Blackfoot,US,2021-07-31 13:33:14,43.1905,-112.345,71.35,80,78,8.88
249,Padang,ID,2021-07-31 13:33:14,-0.9492,100.3543,78.85,87,100,3.29
250,Borovskoy,KZ,2021-07-31 13:33:14,53.8,64.15,81.54,51,60,3.09
251,Bisira,PA,2021-07-31 13:33:14,8.5196,-81.7115,69.04,70,18,3.24
252,Humboldt,US,2021-07-31 13:33:15,40.6665,-123.9178,45.12,67,95,1.34
253,Mayo,US,2021-07-31 13:33:15,38.8876,-76.5119,71.74,66,1,8.99
254,Shinyanga,TZ,2021-07-31 13:33:15,-3.6667,33.4333,84.43,20,5,12.73
255,Labuhan,ID,2021-07-31 13:33:16,-6.8844,112.2051,78.6,75,26,7.29
256,Plainview,US,2021-07-31 13:33:16,40.7765,-73.4673,70.83,61,1,3.0
257,Mareeba,AU,2021-07-31 13:33:16,-17.0,145.4333,66.92,95,100,2.71
258,Caltzontzin,MX,2021-07-31 13:33:17,19.4285,-102.0051,60.42,100,75,0.0
259,Beirut,LB,2021-07-31 13:33:17,33.8889,35.4944,91.38,66,0,10.36
260,Sobolevo,RU,2021-07-31 13:32:10,54.4299,31.8996,77.74,44,10,11.61
261,Port Macquarie,AU,2021-07-31 13:32:23,-31.4333,152.9167,53.49,100,0,0.0
262,Winsum,NL,2021-07-31 13:33:18,53.33,6.5208,68.18,31,72,19.06
263,Poum,NC,2021-07-31 13:33:18,-20.2333,164.0167,68.85,59,3,20.13
264,Peleduy,RU,2021-07-31 13:33:18,59.6289,112.7406,60.8,49,53,4.72
265,Yulara,AU,2021-07-31 13:33:19,-25.2406,130.9889,69.64,37,75,11.5
266,Maldonado,UY,2021-07-31 13:33:19,-34.6667,-54.9167,56.23,62,0,6.87
267,Acarau,BR,2021-07-31 13:33:19,-2.8856,-40.12,87.89,47,56,13.18
268,Whitianga,NZ,2021-07-31 13:33:20,-36.8333,175.7,49.01,76,66,13.82
269,Portland,US,2021-07-31 13:30:46,45.5234,-122.6762,75.63,61,75,1.01
270,Vila Velha,BR,2021-07-31 13:32:34,-20.3297,-40.2925,72.97,47,0,17.27
271,Anloga,GH,2021-07-31 13:33:20,5.7947,0.8973,84.42,75,19,13.62
272,Mahebourg,MU,2021-07-31 13:33:21,-20.4081,57.7,73.69,64,40,10.36
273,Ijuin,JP,2021-07-31 13:33:21,31.6167,130.4,79.92,90,100,2.26
274,Ulaangom,MN,2021-07-31 13:33:22,49.9811,92.0667,58.35,75,100,3.13
275,Pau Brasil,BR,2021-07-31 13:33:22,-15.4642,-39.6511,68.41,78,100,7.02
276,Balkanabat,TM,2021-07-31 13:33:22,39.5108,54.3671,100.06,10,52,13.24
277,Prainha,BR,2021-07-31 13:33:23,-1.8,-53.48,73.2,97,100,4.25
278,Mega,ET,2021-07-31 13:33:23,4.05,38.3,68.72,42,95,20.89
279,Bubaque,GW,2021-07-31 13:33:23,11.2833,-15.8333,79.09,83,100,18.57
280,Manjo,CM,2021-07-31 13:33:24,4.8428,9.8217,77.04,83,78,4.45
281,Havre-Saint-Pierre,CA,2021-07-31 13:33:24,50.2334,-63.5986,55.76,100,90,5.75
282,Walvis Bay,NA,2021-07-31 13:33:24,-22.9575,14.5053,92.35,9,0,8.05
283,Shebunino,RU,2021-07-31 13:33:25,46.4339,141.8603,66.04,91,55,13.67
284,Norman Wells,CA,2021-07-31 13:33:25,65.282,-126.8329,53.64,87,40,3.44
285,Vestmanna,FO,2021-07-31 13:33:25,62.1564,-7.1664,50.92,82,75,13.8
286,Monrovia,LR,2021-07-31 13:33:26,6.3005,-10.7969,74.97,80,84,12.03
287,Kushmurun,KZ,2021-07-31 13:33:26,52.4503,64.6311,85.75,41,53,5.5
288,Garissa,KE,2021-07-31 13:33:27,-0.4536,39.6401,88.32,30,99,24.67
289,Cayenne,GF,2021-07-31 13:30:04,4.9333,-52.3333,88.09,73,75,1.99
290,Terny,UA,2021-07-31 13:33:27,50.9833,33.9833,86.95,32,13,7.92
291,Quatre Cocos,MU,2021-07-31 13:33:27,-20.2078,57.7625,73.51,63,9,18.1
292,Trelew,AR,2021-07-31 13:33:28,-43.249,-65.3051,44.44,41,0,4.85
293,Caravelas,BR,2021-07-31 13:33:28,-17.7125,-39.2481,72.32,58,100,12.93
